dataset,rep,term,beta_ij,vertex_gap_fitted,predicts_interior_optimum
bnp,8,knn*rf,0.06093847134728203,0.060124203935461584,True
bnp,8,knn*xgb,0.1096331520611989,0.062233614113987534,True
bnp,8,rf*xgb,0.017470761949836877,0.00210941017852595,True
bnp,9,lr*gnb,0.11582174138797774,0.09065455140283074,True
bnp,9,lr*knn,0.08450728009292069,0.04998298440026372,True
bnp,9,lr*rf,0.010567973925685759,0.010167829806599138,True
bnp,9,lr*xgb,0.03400397164525093,0.015032060747317444,True
bnp,9,gnb*knn,0.0709841462519154,0.04067156700256702,True
bnp,9,gnb*rf,0.12364815919846228,0.10082238120942988,True
bnp,9,gnb*xgb,0.13153018547902184,0.10568661215014818,True
bnp,9,knn*rf,0.06119015382164106,0.06015081420686286,True
bnp,9,knn*xgb,0.11373855751265848,0.06501504514758116,True
bnp,9,rf*xgb,0.01951639483106904,0.004864230940718306,True
bnp,10,lr*gnb,0.11405970621552614,0.09109012280205453,True
bnp,10,lr*knn,0.08561109266762001,0.05264173778014858,True
bnp,10,lr*rf,0.010982045537053287,0.007339364827940065,True
bnp,10,lr*xgb,0.03225769845687454,0.01150663275625563,True
bnp,10,gnb*knn,0.06814804267570773,0.03844838502190595,True
bnp,10,gnb*rf,0.11789215378480689,0.0984294876299946,True
bnp,10,gnb*xgb,0.12483778949492397,0.10259675555831016,True
bnp,10,knn*rf,0.059434905729409904,0.05998110260808864,False
bnp,10,knn*xgb,0.11110222037760291,0.06414837053640421,True
bnp,10,rf*xgb,0.0195877149854895,0.004167267928315566,True
bnp,11,lr*gnb,0.16587155579673063,0.10793389030537115,True
bnp,11,lr*knn,0.0860678306560021,0.051938536013067194,True
bnp,11,lr*rf,0.009667880021322905,0.00831276729265451,True
bnp,11,lr*xgb,0.033064254498675894,0.012682014721402846,True
bnp,11,gnb*knn,0.10352214394264059,0.055995354292303956,True
bnp,11,gnb*rf,0.1710410552722459,0.11624665759802566,True
bnp,11,gnb*xgb,0.1805861806149316,0.120615905026774,True
bnp,11,knn*rf,0.06098957120382931,0.060251303305721704,True
bnp,11,knn*xgb,0.11417907790636307,0.06462055073447004,True
bnp,11,rf*xgb,0.01976505384628302,0.004369247428748335,True
bnp,12,lr*gnb,0.15987373739835287,0.10588492684227635,True
bnp,12,lr*knn,0.08772826621028099,0.05278359689756984,True
bnp,12,lr*rf,0.010506924181375887,0.00827521684977528,True
bnp,12,lr*xgb,0.032557041729329717,0.012431703990070875,True
bnp,12,gnb*knn,0.0960179710930884,0.05310132994470651,True
bnp,12,gnb*rf,0.1653632465725382,0.11416014369205163,True
bnp,12,gnb*xgb,0.1771596843742923,0.11831663083234722,True
bnp,12,knn*rf,0.06367710581221853,0.06105881374734512,True
bnp,12,knn*xgb,0.11496302760241313,0.06521530088764071,True
bnp,12,rf*xgb,0.018860266091383693,0.004156487140295595,True
bnp,13,lr*gnb,0.12475554106556169,0.09417421091298817,True
bnp,13,lr*knn,0.08627285952333741,0.053378681863941346,True
