subsample,colsample_bytree,colsample_bylevel,learning_rate,max_depth,gamma,n_estimators,Accuracy_Mean,Precision_Mean,Recall_Mean,Specificity_Mean,RocAuc_Mean,LogLoss_Mean,Leaves_Mean,Time_MeanFold
0.525,0.525,0.525,0.3,10.5,2.525,375,0.8651830306049486,0.7641794929101624,0.6631697656279224,0.9321305168607749,0.9213106047819346,0.29571284651756286,1938.8,0.2779393498087302
0.525,0.525,0.525,0.155,3.0,2.525,375,0.867545123671649,0.7789764314709199,0.6535121176058222,0.9384761056557813,0.9230752135707245,0.291474312543869,1560.2,0.23998249175492675
0.525,0.525,0.525,0.155,18.0,2.525,375,0.8686228524679575,0.7757091805986401,0.6646690708380841,0.9362138540001522,0.9231434615519685,0.2915615439414978,2525.6,0.3101841169875115
0.525,0.525,0.525,0.155,10.5,0.05,375,0.8517551002879481,0.7303860180093941,0.6418564119473372,0.9213155210474232,0.910380170114264,0.3371598482131958,30194.4,0.7620911083649844
0.525,0.525,0.525,0.155,10.5,5.0,375,0.8663847767597364,0.7769867440049802,0.6501828066184446,0.9380346197762046,0.9221480951306906,0.2936703026294708,1115.0,0.21449248341377825
0.525,0.525,0.525,0.155,10.5,2.525,50,0.8654315634870702,0.7759790580568785,0.646352387985054,0.9380344370860927,0.921926365253845,0.2946226716041565,1181.6,0.09032103361096233
0.525,0.525,0.525,0.155,10.5,2.525,700,0.8655144135071471,0.7683793936377229,0.6586748979289305,0.9340615208951816,0.9230865881430427,0.2918009698390961,3196.4,0.47441516662947836
0.525,0.525,0.525,0.155,10.5,2.525,375,0.8662189822399824,0.7698891927154208,0.6601726791733455,0.9345030828956382,0.922699470037629,0.2923800706863403,2407.2,0.3008717498043552
0.525,0.525,0.525,0.155,10.5,2.525,375,0.8662189822399824,0.7698891927154208,0.6601726791733455,0.9345030828956382,0.922699470037629,0.2923800706863403,2407.2,0.2982078999746591
0.525,0.525,0.525,0.155,10.5,2.525,375,0.8662189822399824,0.7698891927154208,0.6601726791733455,0.9345030828956382,0.922699470037629,0.2923800706863403,2407.2,0.3002021997701377
0.525,0.525,0.525,0.155,10.5,2.525,375,0.8662189822399824,0.7698891927154208,0.6601726791733455,0.9345030828956382,0.922699470037629,0.2923800706863403,2407.2,0.3024728251621127
0.525,0.525,0.525,0.155,10.5,2.525,375,0.8662189822399824,0.7698891927154208,0.6601726791733455,0.9345030828956382,0.922699470037629,0.2923800706863403,2407.2,0.29938236679881813
0.525,0.525,0.525,0.155,10.5,2.525,375,0.8662189822399824,0.7698891927154208,0.6601726791733455,0.9345030828956382,0.922699470037629,0.2923800706863403,2407.2,0.2981470081955194
0.525,0.525,0.525,0.155,10.5,2.525,375,0.8662189822399824,0.7698891927154208,0.6601726791733455,0.9345030828956382,0.922699470037629,0.2923800706863403,2407.2,0.29913922478444877
0.525,0.525,0.525,0.155,10.5,2.525,375,0.8662189822399824,0.7698891927154208,0.6601726791733455,0.9345030828956382,0.922699470037629,0.2923800706863403,2407.2,0.3002946668071672
0.525,0.525,0.525,0.155,10.5,2.525,375,0.8662189822399824,0.7698891927154208,0.6601726791733455,0.9345030828956382,0.922699470037629,0.2923800706863403,2407.2,0.2999113916186616
0.525,0.525,0.525,0.155,10.5,2.525,375,0.8662189822399824,0.7698891927154208,0.6601726791733455,0.9345030828956382,0.922699470037629,0.2923800706863403,2407.2,0.2994132331572473
