subsample,colsample_bytree,colsample_bylevel,learning_rate,max_depth,gamma,n_estimators,Accuracy_Mean,Precision_Mean,Recall_Mean,Specificity_Mean,RocAuc_Mean,LogLoss_Mean,Leaves_Mean,Time_MeanFold
1.0,0.05,1.0,0.01,18.0,0.05,50,0.8734317343173432,0.0,0.0,1.0,0.8519868382033812,0.3557127356529236,647.4,0.05214156701695174
0.05,1.0,1.0,0.01,18.0,0.05,50,0.8734317343173432,0.0,0.0,1.0,0.9330944402567398,0.2860570430755615,1286.0,0.08164152505341918
1.0,1.0,1.0,0.01,18.0,0.05,700,0.9043870438704387,0.639040257798358,0.5620289216534752,0.9539969898401596,0.9412229841949815,0.20994614362716674,270909.6,2.6375052084214987
0.05,0.05,0.05,0.3,18.0,0.05,700,0.8977039770397705,0.623076651243778,0.4845924270795634,0.9575645250679544,0.9240201864468067,0.22900724411010742,2219.6,0.39448094156105074
1.0,0.05,0.05,0.3,18.0,0.05,50,0.8863468634686347,0.67122928924405,0.19888698315788372,0.9859643805097658,0.8192985841508511,0.29383058547973634,214.4,0.03388351679313928
0.05,1.0,0.05,0.3,18.0,0.05,50,0.8952029520295204,0.6235620235969186,0.437312289866931,0.9615549591061191,0.9181719339147097,0.23131811022758483,572.2,0.06781304175965489
1.0,1.0,0.05,0.3,18.0,0.05,700,0.9014350143501435,0.6329170651470792,0.5257399568850214,0.9558746045859763,0.9374235883628199,0.20736534297466278,7625.2,0.4783572165761143
0.05,0.05,1.0,0.3,18.0,0.05,50,0.8894218942189422,0.6454533895843053,0.27922665785484624,0.9778434165975277,0.8834825715346695,0.2639819622039795,402.0,0.05104648340493441
1.0,0.05,1.0,0.3,18.0,0.05,700,0.9025010250102501,0.6463874110419255,0.5079316874111606,0.9596771239972102,0.9376477095619957,0.20679262280464172,7471.0,0.4625402500387281
0.05,1.0,1.0,0.3,18.0,0.05,700,0.8771217712177121,0.5148197974238653,0.519921532837144,0.9288830896668442,0.887527221004784,0.7796013832092286,11609.6,1.063574541802518
1.0,1.0,1.0,0.3,18.0,0.05,50,0.9015580155801558,0.6221887541130438,0.565914514851589,0.9501948781006464,0.9378033256938607,0.24377215802669525,14420.0,0.18467170018702744
