subsample,colsample_bytree,colsample_bylevel,learning_rate,max_depth,gamma,n_estimators,Accuracy_Mean,Precision_Mean,Recall_Mean,Specificity_Mean,RocAuc_Mean,LogLoss_Mean,Leaves_Mean,Time_MeanFold
0.525,0.525,0.525,0.3,10.5,2.525,375,0.9529891304347826,0.946646440140355,0.9337931034482759,0.9654708520179373,0.9868903664759548,0.13655619472265243,831.0,0.14245310018304735
0.525,0.525,0.525,0.155,3.0,2.525,375,0.9497282608695652,0.947277638507663,0.9241379310344827,0.9663677130044844,0.9865826503788464,0.1386249005794525,956.2,0.1476266665617004
0.525,0.525,0.525,0.155,18.0,2.525,375,0.9521739130434783,0.9464244162126582,0.9317241379310346,0.9654708520179373,0.9872869955156951,0.1330944389104843,1078.2,0.16491262521594763
0.525,0.525,0.525,0.155,10.5,0.05,375,0.9538043478260869,0.9434286220241216,0.9393103448275862,0.9632286995515695,0.9871493737436214,0.1443578839302063,5394.0,0.4787359833717346
0.525,0.525,0.525,0.155,10.5,5.0,375,0.9478260869565217,0.948427996345384,0.9179310344827586,0.9672645739910314,0.9851314365238906,0.1474546581506729,711.8,0.13028085841797293
0.525,0.525,0.525,0.155,10.5,2.525,50,0.9491847826086957,0.9462103393360938,0.9241379310344827,0.9654708520179371,0.9857870728312973,0.14322485625743867,558.6,0.0600363330449909
0.525,0.525,0.525,0.155,10.5,2.525,700,0.9546195652173914,0.9491495055035759,0.9351724137931035,0.9672645739910314,0.9868957785681151,0.13465724438428878,1478.2,0.2506124751875177
0.525,0.525,0.525,0.155,10.5,2.525,375,0.9548913043478262,0.9491583540344287,0.9358620689655173,0.9672645739910314,0.9868911396319777,0.13528978675603867,1081.8,0.1645568081876263
0.525,0.525,0.525,0.155,10.5,2.525,375,0.9548913043478262,0.9491583540344287,0.9358620689655173,0.9672645739910314,0.9868911396319777,0.13528978675603867,1081.8,0.1647367754485458
0.525,0.525,0.525,0.155,10.5,2.525,375,0.9548913043478262,0.9491583540344287,0.9358620689655173,0.9672645739910314,0.9868911396319777,0.13528978675603867,1081.8,0.16420303338672965
0.525,0.525,0.525,0.155,10.5,2.525,375,0.9548913043478262,0.9491583540344287,0.9358620689655173,0.9672645739910314,0.9868911396319777,0.13528978675603867,1081.8,0.1641926916083321
0.525,0.525,0.525,0.155,10.5,2.525,375,0.9548913043478262,0.9491583540344287,0.9358620689655173,0.9672645739910314,0.9868911396319777,0.13528978675603867,1081.8,0.16376666657160968
0.525,0.525,0.525,0.155,10.5,2.525,375,0.9548913043478262,0.9491583540344287,0.9358620689655173,0.9672645739910314,0.9868911396319777,0.13528978675603867,1081.8,0.16385700001846998
0.525,0.525,0.525,0.155,10.5,2.525,375,0.9548913043478262,0.9491583540344287,0.9358620689655173,0.9672645739910314,0.9868911396319777,0.13528978675603867,1081.8,0.1644240416586399
0.525,0.525,0.525,0.155,10.5,2.525,375,0.9548913043478262,0.9491583540344287,0.9358620689655173,0.9672645739910314,0.9868911396319777,0.13528978675603867,1081.8,0.1637486584018916
0.525,0.525,0.525,0.155,10.5,2.525,375,0.9548913043478262,0.9491583540344287,0.9358620689655173,0.9672645739910314,0.9868911396319777,0.13528978675603867,1081.8,0.1643216413911432
0.525,0.525,0.525,0.155,10.5,2.525,375,0.9548913043478262,0.9491583540344287,0.9358620689655173,0.9672645739910314,0.9868911396319777,0.13528978675603867,1081.8,0.1634124916046858
